loan_request_id,approved,total_importe,mes_compra,year,quarter,quarterpercentage,month,num_delinquencies,ever_delinquent,most_purchased_category,medio_pago,canal,riskclient,dias_entre_compras,delta_importe,promedio_cliente,temporada_alta_relativa,es_temporada_alta_real,promedio_temporada_alta,temporada_alta_ajustada,fecha_afiliacion,external_account_id
1,1,86668.85,1,2024,1,3.0306730571,1,0,True,home_appliances,Loan,sucursal,0,27.4355477765,312.087937925,875.4,1.2,1,1707.16,0.052691956083763,2024-09-21,100100837770.0
2,1,52697.35,4,2024,2,64.2711610957,4,1,True,toys_games,Loan,sucursal,1,172.3130213152,202.2015455638,571.76,1.1,0,1198.33,0.523845333760321,2024-08-04,100100640920.0
3,0,86606.6,3,2024,1,2.2210624031,3,4,True,clothing,Cash,sucursal,1,97.0446384675,147.5246767035,863.94,1.1,1,2057.11,0.470679398040445,2021-12-22,100100558581.0
4,1,97459.71,2,2024,1,30.0087324664,2,0,True,garden_outdoor,Credit Card,sucursal,0,152.6875136957,-376.4958934873,1088.49,1.1,1,1034.59,0.022792654900816,2020-03-08,100100826963.0
5,0,100842.57,3,2024,1,18.6745017467,3,4,True,jewelry,Cash,sucursal,1,193.7854419746,-343.1519219733,1651.7,0.6,1,1432.44,0.936217012881326,2019-07-18,100100341063.0
6,1,97035.04,7,2024,3,97.8371733216,7,0,True,electronics,Debit Card,sucursal,0,76.3588092613,-196.7601258412,1102.04,0.8,0,473.46,0.452122655856314,2021-03-22,100100443135.0
7,1,71517.36,1,2024,1,17.2739936184,1,0,True,jewelry,Loan,sucursal,0,138.7094422496,21.1227670455,461.59,1.5,0,2160.42,0.792546424337748,2017-02-18,100100788737.0
8,1,91746.21,6,2024,2,64.711991379,6,4,True,jewelry,Debit Card,sucursal,1,90.6943846288,-237.6709311541,1411.16,1.1,1,1669.78,0.757012614840891,2025-05-12,100100003792.0
9,0,118965.56,6,2024,2,46.5833338603,6,2,True,garden_outdoor,Debit Card,sucursal,1,160.5491027275,-456.0819975766,1144.8,0.8,0,1810.41,0.540756192019298,2021-11-26,100100314433.0
10,1,135945.76,6,2024,2,59.0238516584,6,3,True,office_supplies,Cash,sucursal,1,83.0489202728,-423.4569724029,1729.81,1.0,1,1900.54,0.206544025027162,2021-05-03,100100851917.0
11,0,31227.4,8,2024,3,88.8481959321,8,4,False,kitchen_dining,Credit Card,sucursal,1,4.0665095152,-494.0469752313,1634.55,1.5,0,2360.89,0.145877730014857,2025-12-03,100100692683.0
12,0,12359.23,4,2024,2,58.1149098086,4,1,True,books_media,Loan,sucursal,1,175.5152695727,489.7212777832,469.81,1.2,1,1726.02,0.067619984170352,2021-02-22,100100247556.0
13,1,130662.87,6,2025,2,34.1778446694,6,2,True,health_beauty,Cash,sucursal,1,74.2759732863,-37.8030260231,1927.35,0.7,0,946.19,0.652103574954379,2018-03-16,100100560857.0
14,0,68848.33,3,2024,1,11.7618007754,3,2,True,clothing,Cash,sucursal,1,157.8022767509,-106.2055670826,1109.02,0.8,1,1013.7,0.282670355226239,2018-10-17,100100276978.0
15,1,69014.13,5,2024,2,47.7439535193,5,1,False,electronics,Credit Card,sucursal,1,82.9310424046,-443.5367143747,806.21,0.9,1,2204.82,0.480521192650995,2018-03-01,100100873072.0
16,1,23566.52,3,2025,1,26.7215841734,3,2,True,garden_outdoor,Debit Card,sucursal,1,183.6060120869,64.073547008,285.29,1.2,0,2029.09,0.665602762563405,2024-09-05,100100312560.0
17,0,96999.73,10,2024,4,28.8303289105,10,0,False,musical_instruments,Cash,sucursal,0,88.3422514221,270.9910773366,1731.33,1.1,1,1832.67,0.361730292089317,2021-09-22,100100535973.0
18,1,67702.73,6,2024,2,60.9032206071,6,4,False,health_beauty,Debit Card,sucursal,1,28.398829571,-131.2380773274,1508.31,1.3,1,626.24,0.21968936327573,2017-10-13,100100987645.0
